Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137337,-,-,-,37.77,-122.42,0,32,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,DNI,DHI,GHI,Clearsky GHI,Solar Zenith Angle,Relative Humidity,Wind Direction,Wind Speed
2021,1,1,0,30,11.5,27,344,316,29,54,55,85.4,76.08,315,2.6
2021,1,1,1,30,10.4,0,0,0,0,0,0,95.92,82.84,315,2.9000000000000004
2021,1,1,2,30,9.9,0,0,0,0,0,0,107.01,87.7,316,2.9000000000000004
2021,1,1,3,30,9.4,0,0,0,0,0,0,118.59,92.14,320,2.8000000000000003
2021,1,1,4,30,8.9,0,0,0,0,0,0,130.4,95.61,326,2.7
2021,1,1,5,30,8.5,0,0,0,0,0,0,142.18,97.48,331,2.6
2021,1,1,6,30,8.3,0,0,0,0,0,0,153.4,97.60000000000001,334,2.5
2021,1,1,7,30,8.1,0,0,0,0,0,0,162.52,97.42,334,2.4000000000000004
2021,1,1,8,30,8,0,0,0,0,0,0,164.76,96.49000000000001,332,2.2
2021,1,1,9,30,8.1,0,0,0,0,0,0,157.89000000000001,94.10000000000001,331,2.1
2021,1,1,10,30,8.4,0,0,0,0,0,0,147.27,90.57000000000001,335,1.8
2021,1,1,11,30,8.8,0,0,0,0,0,0,135.64000000000001,87.07000000000001,169,1.4000000000000001
2021,1,1,12,30,9,0,0,0,0,0,0,123.8,85.24,28,1
2021,1,1,13,30,8.5,0,0,0,0,0,0,112.09,87.7,73,1
2021,1,1,14,30,7.800000000000001,0,0,0,0,0,0,100.74000000000001,91.74,96,1.3
