Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137337,-,-,-,37.77,-122.42,0,32,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,DNI,DHI,GHI,Clearsky GHI,Solar Zenith Angle,Relative Humidity,Wind Direction,Wind Speed
2009,1,1,0,30,10.4,25,388,388,25,56,56,85.4,88.04,286,1.8
2009,1,1,1,30,9.3,0,0,0,0,0,0,95.93,94.69,277,1.8
2009,1,1,2,30,8.700000000000001,0,0,0,0,0,0,107.02,100,277,1.9000000000000001
2009,1,1,3,30,8.6,0,0,0,0,0,0,118.60000000000001,100,285,2
2009,1,1,4,30,8.700000000000001,0,0,0,0,0,0,130.41,100,295,2
2009,1,1,5,30,8.9,0,0,0,0,0,0,142.19,100,307,1.9000000000000001
2009,1,1,6,30,9,0,0,0,0,0,0,153.42000000000002,99.25,322,1.8
2009,1,1,7,30,9,0,0,0,0,0,0,162.55,98.35000000000001,340,1.7000000000000002
2009,1,1,8,30,8.9,0,0,0,0,0,0,164.78,98.14,180,1.8
2009,1,1,9,30,8.6,0,0,0,0,0,0,157.89000000000001,99.16,15,1.9000000000000001
2009,1,1,10,30,8.3,0,0,0,0,0,0,147.27,100,25,1.9000000000000001
2009,1,1,11,30,8,0,0,0,0,0,0,135.64000000000001,100,33,1.8
2009,1,1,12,30,7.800000000000001,0,0,0,0,0,0,123.79,100,35,1.8
2009,1,1,13,30,7.800000000000001,0,0,0,0,0,0,112.08,98.82000000000001,28,1.7000000000000002
2009,1,1,14,30,7.6000000000000005,0,0,0,0,0,0,100.73,98.18,19,1.6
