Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137337,-,-,-,37.77,-122.42,0,32,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,DNI,DHI,GHI,Clearsky GHI,Solar Zenith Angle,Relative Humidity,Wind Direction,Wind Speed
2011,1,1,0,30,7.800000000000001,30,240,0,8,8,49,85.47,77.68,121,1.5
2011,1,1,1,30,7.4,0,0,0,0,0,0,95.99000000000001,79.54,122,1.8
2011,1,1,2,30,7.1000000000000005,0,0,0,0,0,0,107.09,82.11,124,2.1
2011,1,1,3,30,7.1000000000000005,0,0,0,0,0,0,118.67,84.31,124,2.4000000000000004
2011,1,1,4,30,7.2,0,0,0,0,0,0,130.48,86.3,125,2.8000000000000003
2011,1,1,5,30,7.4,0,0,0,0,0,0,142.26,87.92,127,3.2
2011,1,1,6,30,7.5,0,0,0,0,0,0,153.49,89.83,129,3.6
2011,1,1,7,30,7.6000000000000005,0,0,0,0,0,0,162.61,91.34,130,4
2011,1,1,8,30,7.7,0,0,0,0,0,0,164.81,92.26,131,4.5
2011,1,1,9,30,7.9,0,0,0,0,0,0,157.88,92.11,134,4.9
2011,1,1,10,30,8.3,0,0,0,0,0,0,147.24,91.17,139,4.9
2011,1,1,11,30,8.6,0,0,0,0,0,0,135.61,92.39,147,4.4
2011,1,1,12,30,9,0,0,0,0,0,0,123.77,92.32000000000001,159,3.7
2011,1,1,13,30,9.3,0,0,0,0,0,0,112.05,93.13,166,3.2
2011,1,1,14,30,9.4,0,0,0,0,0,0,100.71000000000001,93.45,171,2.8000000000000003
2011,1,1,15,30,9.5,0,0,0,0,0,0,89.51,92.82000000000001,179,2.3000000000000003
2011,1,1,16,30,9.8,53,464,0,10,10,132,80.13,90.46000000000001,179,1.9000000000000001
2011,1,1,17,30,10.200000000000001,73,681,0,5,5,286,71.79,88.22,173,1.6
2011,1,1,18,30,10.600000000000001,88,761,13,134,140,405,65.38,85.24,171,1.5
2011,1,1,19,30,10.700000000000001,96,791,0,31,31,473,61.57,81.49,158,1.3
2011,1,1,20,30,10.700000000000001,99,793,1,80,81,485,60.85,79.73,132,1.2000000000000002
2011,1,1,21,30,10.600000000000001,101,749,1,79,80,437,63.33,79.61,111,1.3
2011,1,1,22,30,10.4,87,694,2,90,91,339,68.67,80.57000000000001,101,1.6
2011,1,1,23,30,9.9,64,573,0,22,22,200,76.23,85.60000000000001,97,2.1
2011,1,2,0,30,9.4,30,265,0,21,21,52,85.34,88.82000000000001,98,2.6
2011,1,2,1,30,9.200000000000001,0,0,0,0,0,0,95.86,91.17,100,3.1
2011,1,2,2,30,9,0,0,0,0,0,0,106.96000000000001,93.57000000000001,100,3.4000000000000004
2011,1,2,3,30,8.9,0,0,0,0,0,0,118.53,93.83,102,3.8000000000000003
2011,1,2,4,30,8.700000000000001,0,0,0,0,0,0,130.35,94.31,103,4
2011,1,2,5,30,8.6,0,0,0,0,0,0,142.12,94.07000000000001,102,4.2
2011,1,2,6,30,8.5,0,0,0,0,0,0,153.35,93.85000000000001,104,4.4
2011,1,2,7,30,8.4,0,0,0,0,0,0,162.48,93.13,105,4.5
2011,1,2,8,30,8.200000000000001,0,0,0,0,0,0,164.75,93.3,102,4.5
2011,1,2,9,30,8.1,0,0,0,0,0,0,157.89000000000001,92.13,101,4.5
2011,1,2,10,30,8,0,0,0,0,0,0,147.28,91.02,104,4.7
2011,1,2,11,30,7.9,0,0,0,0,0,0,135.66,90.54,103,4.7
2011,1,2,12,30,7.7,0,0,0,0,0,0,123.81,90.86,97,4.4
2011,1,2,13,30,7.4,0,0,0,0,0,0,112.10000000000001,91.48,91,4.2
2011,1,2,14,30,7.2,0,0,0,0,0,0,100.75,90.92,90,4.2
2011,1,2,15,30,7.1000000000000005,0,0,0,0,0,0,89.52,89.10000000000001,91,4.2
2011,1,2,16,30,7.300000000000001,50,481,0,19,19,132,80.14,87.11,90,4.1000000000000005
2011,1,2,17,30,7.7,71,675,0,34,34,282,71.78,85.13,90,4
2011,1,2,18,30,8.1,81,773,1,83,84,404,65.34,83.67,91,3.8000000000000003
2011,1,2,19,30,8.6,89,806,4,130,132,473,61.5,81.86,87,3.4000000000000004
2011,1,2,20,30,9.1,90,817,190,255,348,489,60.75,80.23,80,3
2011,1,2,21,30,9.3,87,792,49,184,207,444,63.22,80.24,71,2.9000000000000004
2011,1,2,22,30,9.3,79,722,4,101,103,344,68.54,80.95,64,2.9000000000000004
2011,1,2,23,30,9,62,588,1,48,49,204,76.10000000000001,83.02,57,2.8000000000000003
2011,1,3,0,30,8.4,31,273,2,32,32,54,85.2,86.88,50,2.8000000000000003
2011,1,3,1,30,7.9,0,0,0,0,0,0,95.72,88.79,45,2.9000000000000004
2011,1,3,2,30,7.5,0,0,0,0,0,0,106.82000000000001,90.10000000000001,46,3.1
2011,1,3,3,30,6.9,0,0,0,0,0,0,118.39,91.92,50,3
2011,1,3,4,30,6.2,0,0,0,0,0,0,130.21,93.81,53,2.8000000000000003
2011,1,3,5,30,5.7,0,0,0,0,0,0,141.98,94.56,55,2.6
2011,1,3,6,30,5.4,0,0,0,0,0,0,153.21,94.73,59,2.5
2011,1,3,7,30,5.2,0,0,0,0,0,0,162.35,94.69,61,2.5
2011,1,3,8,30,5,0,0,0,0,0,0,164.68,95.2,62,2.5
2011,1,3,9,30,4.9,0,0,0,0,0,0,157.9,95.56,62,2.5
2011,1,3,10,30,4.9,0,0,0,0,0,0,147.32,95.66,60,2.4000000000000004
2011,1,3,11,30,4.9,0,0,0,0,0,0,135.7,95.71000000000001,59,2.4000000000000004
2011,1,3,12,30,4.800000000000001,0,0,0,0,0,0,123.86,96.33,60,2.4000000000000004
2011,1,3,13,30,4.7,0,0,0,0,0,0,112.14,97.01,63,2.4000000000000004
2011,1,3,14,30,4.7,0,0,0,0,0,0,100.78,96.97,65,2.4000000000000004
2011,1,3,15,30,5.5,0,0,0,0,0,0,89.53,91.87,65,2.5
2011,1,3,16,30,7.1000000000000005,53,466,466,53,132,132,80.14,86.61,63,2.7
2011,1,3,17,30,8.6,76,664,664,76,284,284,71.76,81.68,62,2.8000000000000003
2011,1,3,18,30,10.100000000000001,78,796,194,232,313,411,65.3,76.8,64,2.7
2011,1,3,19,30,11.200000000000001,84,834,834,84,483,483,61.42,71.85000000000001,66,2.5
2011,1,3,20,30,11.8,85,840,840,85,497,497,60.65,68.28,66,2.4000000000000004
2011,1,3,21,30,12,79,831,225,249,351,455,63.09,66.92,66,2.4000000000000004
2011,1,3,22,30,11.8,72,767,767,72,355,355,68.4,67.51,65,2.5
2011,1,3,23,30,10.8,57,644,644,57,214,214,75.95,72.88,63,2.3000000000000003
2011,1,4,0,30,9.200000000000001,29,351,351,29,59,59,85.06,83.60000000000001,59,2.2
2011,1,4,1,30,8.1,0,0,0,0,0,0,95.57000000000001,85.56,55,2.4000000000000004
2011,1,4,2,30,7.4,0,0,0,0,0,0,106.67,89.22,51,2.4000000000000004
